review_id,user_id,business_id,stars,date,text,useful,funny,cool
5MhW-k5JTFb9Kd1Jy77AGg,3gXn9Wh6c_bjoBWVqqpX3Q,jTZYireK6pnPb6Rni0jygw,5,2017-11-06,"I love the lunch specials! Great price and lots of choices. I'm a big fan of the sashimi don and always quite happy with it. Instead of big pieces of fish, there are some chopped and some are in pieces, the torched butterfish is one of one absolute favourite, buttery and smoky with fried garlic on top as garnish added some texture to it. The octopus is also great touch, add bite to the dish. I like the variety of this dish and according to the chef and what is available it subject to change so it is a pleasant surprise what you end up getting. The sushi lunch is pretty great as well. Grab a friend or co-worker to share a couple of different dishes. It is nice to go early for lunch since they normally take lunch break around 2:30pm.",0,0,0
OIiQC5W2DQ8BE71v3H0ZOw,Vh2_8eGEksXhEz2u90aEGA,dA7ORbBrCdxoMlvn3I6JDA,5,2012-11-28,Shimogamo has some of the best sushi I have ever eaten. My parents took me here for dinner and it was love at first bite. The prices are great and their happy hour prices are event better! The owners and staff are friendly and very accommodating. This is a great place to enjoy a nice relaxing night or to have a celebration. I give this place 5 Sushi out of 5!,0,0,0
qxiOFzzpWNmxpJ8kJKcPkQ,5WEGrHvauHaXw9qe_cBXMQ,ficdTnNWDlCCBI7pieTwFg,5,2017-08-01,"The first time I needed UPS (years ago), I went to one on Desert Inn.  Employee clearly wasn't a ""people person"" and the service showed it.  Also, I needed a piece of adhesive tape and they wanted to charge me $3!!!!!  I left and found the fine folks at the UPS next to Smith's on E. Flamingo.  Every single time I've been in there (always, always, always) it's a great experience - the staff is A+, the service spot on, and they play excellent music (60's and 70's) in the background.  It can't get any better than that!",0,0,0
3nlEIOxhv2Y0ZnvMwRwODg,mU45slngHxgFkmx40yI8gQ,SAfuIUZMXrOnb3LWyvYjDA,5,2012-07-30,"Good food and good service. They blast the AC inside, which is nice when it's 110 degrees outside. It's also nice because you don't smell too much like kimchi afterwards. However, they do not offer sushi\/rolls on weekends, which I thought was weird.

Jun's special was pretty good and very filling; it comes with bulgogi, grilled chicken, kalbi, mandu, and fried pork. My favorite is definitely the kalbi tang. It's not too salty, but still flavorful. I prefer my soups not too salty and msg-free. The meat is very tender and the broth is delicious. I will definitely be back for more kalbi tang.",2,0,1
3taNyKF6NJ8LwbwIGjrV6w,_zPT9ZmR5-nUfsprzIiRew,LrgrNOUMO_c8SXWnShPrtQ,5,2017-10-29,"Same quality and service as the downtown Oshawa location. Healthy serving size, as expected. Very clean. Also has a Hollywood Cone back drop complete with red carpet for photo ops!

There's a lot more seating and parking here, so I think this might be my go-to location now!",1,0,0
sX35gYG7j5zizyg4fVTNRg,kuDmRGcvJhFCHEXTNH1d4Q,Mbat8t9X0zPrpxd1mEGRcw,5,2010-10-14,"Domo Aragato for Nakato!!!!
Yum is all I can say!!  Walking in to a grand foyer to be greeted by friendly hostess' and a minimal wait for the hibachi!  SO we mosied on over to the bar and made the decision to hit the mai tai!  Something fantastical about that drink!  LOL...  Once we made it to the hibachi grill the waitress took our order,being vegan I asked if they would be able to avoid the egg in the rice, once I said that she immediately offered all suggestions for me to eat!  I was shocked at the offering, usually not a normal approach from the wait staff!!  The MISO soup was by far the most flavorful that I've ever had!  It was flavor explosion in my mouf! (that's right... I called it a mouf)...  The vegetables with tofu were phenomenal as well and the pricing was moderate, moderate high, but for two full meals and a round of drinks for half the gaggle (two people) it was right on key... about 50 bucks or so!  
Take your friends here if you wanna impress them with one of Charlotte's finest!  hands down 5 stars!  Can I throw in a comet!  Cuz this place is outta dis world!  :))",6,5,5
W3Kec_qtXnJoTy3JWWDZIg,9sXD1UHgayRx2eK5n4RQxw,Tza4ufJ_jCEiApOANoqgmw,4,2013-12-04,"I'm writing this review 17 days after my visit...because I wanted to see how long my gel mani would last! It would have lasted even longer but I couldn't handle the regrowth anymore and removed it myself. There was not a single chip, crack, or imperfection in the polish and THAT my friends, is 5-star. The tech did a great job on prepping my fingers and cuticles, and she also put sunscreen on the backs of my hands before putting me under the UV light with the gel, and I've never seen that before. I liked the gesture.

The salon is spotless, and while the layout is different than anything I've seen it lends itself well to a feeling of classiness. The nail stations are side by side along a huge granite counter, so if it's busy you WILL be right next to someone else. Fortunately everyone I met was really nice and unobtrusive. The pedis are done in other room adjacent to the nail bar. They also offer other spa services, but I haven't tried those...yet.

I was offered a neck massage when I sat down, but the people who perform those services are offering separate from your nail experience, so if you accept you need to pay for it. I declined because I was on my lunch break and didn't want to go back to work with massage oil\/lotion on my neck and in my hair. The girl next to me accepted and it looked like a great massage though.

The only reason I give this nail spa 4 stars instead of five is because I didn't get any kind of hand massage or moisturizing treatment. When the gel mani was done curing (or whatever it does), she just handed me the bill. I wasn't upset but it was strange that I went to my car and immediately needed to put lotion on my hands myself. 

I believe I paid $30\/$35 with tip for the whole thing and while it's a little pricey it was worth the long wear I got out of it.",1,1,1
v15UQqv6YWDc02YVRdZO8Q,hL17FgUVx2znvXRaw89OmA,lAR6Lj6-zBxQNqflZt0zTQ,5,2008-08-06,"Being from California I've seen this place a few times off the freeway. I've always wanted to stop there, but never any time. So when my fiance's best friend (who lives in Vegas) said we should go here I was instantly happy. And it was even better than I had imagined. 
    When I walked in I felt as though I had walked in to a restaurant in Italy. The decor was funny, like an Italian version of TGIF. But it only added to the whole experience. We wound up spending WAY too much for three people and getting WAY WAY too much food, too. But it was VERY much worth it. The food was awesome. And the quantity was huge. Although it seems a little ridiculous for them to charge $2 for a side of marinara sauce when we just got two $11 appetizers...but hey that's a fancy place for you. Had we ordered one dish and one appetizer I think we would have been perfect...but when your in Vegas you go big or go home. 
     This restaurant is perfect for any size party and for any occasion. The staff is very friendly, and pretty prompt. There selection is great, as well. I HIGHLY recommend this restaurant.",0,0,0
dSeFnVMgUshuN33BeoZHsg,EFcNoV8_Mit0tfeALv9dgQ,ow5ku7hfMqU94mylTd3WlQ,1,2017-08-06,"Vivido? Ice Land? Who knows--but perhaps more importantly, who cares? The management certainly didn't, and due to our bad experience, we won't ever have to find out (because we won't be returning). 

Bland, amateur, sub-par: just a few of the adjectives that come to mind in describing the service and the ""gelato"". While it may do for the average tourist consumer, this icy mush would leave an Italian shaking his head...or gagging. 

My wife and I took a few small bites. Though they were still mostly full, we discarded our $3.95 small cups without hesitation. We simply couldn't stomach any more.",0,0,0
wgMlEzAAuCZCDIqGdDyumA,wM7HTh-ixzNpZfTvFZmbuw,oSS4sjOEjsubAKdTuAErfw,2,2012-07-30,"I joined my girlfriend on the Mad Greek Patio on Saturday for some Happy Hour and noshing.  

The Patio was great, very pretty.  Our server was nice and fairly attentive.  I love the interior of the restaurant too though, so I think that would have been nice as well.

For the food:
The Samosa appetizer, while good flavor, was a little on the greasy side.  The baba was great.  The dinner...way over-priced and small portion.  I ordered an Indian dish, and in my experience the plate comes heaping full with your entree and then there is a small side of rice.  This dish came heaping w\/ white rice that wasn't cooked appropriately (I'm sorry, if my rice is crunching it isn't done.) and a very small portion of the Cauliflower curry.  Cauliflower is cheap people, for $15 I expect more than 1 c. of veggies.

I don't think this is someplace I'll frequent often, if at all again.",4,0,0
